"","chr_id","type","feature","start","stop","strand","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_version","transcript_name","transcript_source","transcript_biotype","tag","transcript_support_level","exon_number","exon_id","exon_version","protein_id","protein_version","ccds_id","is_poisonous_exon"
"ENSG00000003509.297567","2","havana","exon",37248258,37248426,"+","ENSG00000003509","16","NDUFAF7","ensembl_havana","protein_coding","ENST00000441905","1","NDUFAF7-208","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00001637173","1",NA,NA,NA,TRUE
"ENSG00000003756.540340","3","havana","exon",50092979,50093042,"+","ENSG00000003756","17","RBM5","ensembl_havana","protein_coding","ENST00000438369","5","RBM5-207","havana","nonsense_mediated_decay",NA,"4","4","ENSE00001806533","1",NA,NA,NA,TRUE
"ENSG00000004139.2377065","17","havana","exon",28386608,28386681,"+","ENSG00000004139","14","SARM1","ensembl_havana","protein_coding","ENST00000582323","1","SARM1-206","havana","nonsense_mediated_decay","cds_start_NF","4","3","ENSE00002707184","1",NA,NA,NA,TRUE
"ENSG00000004455.56820","1","havana","exon",33031544,33031661,"-","ENSG00000004455","17","AK2","ensembl_havana","protein_coding","ENST00000550338","5","AK2-212","havana","nonsense_mediated_decay",NA,"2","2","ENSE00003608386","1",NA,NA,NA,TRUE
"ENSG00000004478.1774158","12","havana","exon",2796265,2796368,"+","ENSG00000004478","8","FKBP4","ensembl_havana","protein_coding","ENST00000543769","1","FKBP4-206","havana","nonsense_mediated_decay",NA,"5","2","ENSE00002261742","1",NA,NA,NA,TRUE
"ENSG00000004534.540011","3","havana","exon",50061462,50062108,"+","ENSG00000004534","15","RBM6","ensembl_havana","protein_coding","ENST00000454079","5","RBM6-213","havana","nonsense_mediated_decay",NA,"2","14","ENSE00001733327","1",NA,NA,NA,TRUE
"ENSG00000004534.540112","3","havana","exon",50059632,50059746,"+","ENSG00000004534","15","RBM6","ensembl_havana","protein_coding","ENST00000434592","5","RBM6-207","havana","nonsense_mediated_decay",NA,"2","9","ENSE00001641495","1",NA,NA,NA,TRUE
"ENSG00000004766.1120028","7","ensembl_havana","exon",93239866,93239950,"+","ENSG00000004766","17","VPS50","ensembl_havana","protein_coding","ENST00000441602","5","VPS50-205","ensembl_havana","nonsense_mediated_decay",NA,"1","2","ENSE00003626865","1",NA,NA,NA,TRUE
"ENSG00000004766.1120108","7","havana","exon",93240716,93240818,"+","ENSG00000004766","17","VPS50","ensembl_havana","protein_coding","ENST00000649152","1","VPS50-221","havana","nonsense_mediated_decay",NA,NA,"3","ENSE00003838170","1",NA,NA,NA,TRUE
"ENSG00000004766.1120176","7","havana","exon",93239866,93239950,"+","ENSG00000004766","17","VPS50","ensembl_havana","protein_coding","ENST00000436177","5","VPS50-203","havana","nonsense_mediated_decay",NA,"4","2","ENSE00003626865","1",NA,NA,NA,TRUE
"ENSG00000004777.2710055","19","havana","exon",35778655,35778699,"+","ENSG00000004777","18","ARHGAP33","ensembl_havana","protein_coding","ENST00000590893","5","ARHGAP33-210","havana","nonsense_mediated_decay",NA,"5","5","ENSE00002870775","1",NA,NA,NA,TRUE
"ENSG00000004779.2241325","16","havana","exon",23595429,23595638,"-","ENSG00000004779","10","NDUFAB1","ensembl_havana","protein_coding","ENST00000484769","1","NDUFAB1-202","havana","nonsense_mediated_decay",NA,"3","2","ENSE00001874513","1",NA,NA,NA,TRUE
"ENSG00000004838.542221","3","havana","exon",50345124,50345236,"-","ENSG00000004838","14","ZMYND10","ensembl_havana","protein_coding","ENST00000443080","5","ZMYND10-205","havana","nonsense_mediated_decay",NA,"3","2","ENSE00001620367","1",NA,NA,NA,TRUE
"ENSG00000004838.542244","3","havana","exon",50345124,50345236,"-","ENSG00000004838","14","ZMYND10","ensembl_havana","protein_coding","ENST00000431869","1","ZMYND10-203","havana","nonsense_mediated_decay",NA,"4","2","ENSE00001620367","1",NA,NA,NA,TRUE
"ENSG00000004846.1066891","7","havana","exon",20763256,20763468,"+","ENSG00000004846","16","ABCB5","ensembl_havana","protein_coding","ENST00000441315","1","ABCB5-204","havana","nonsense_mediated_decay","cds_start_NF","2","7","ENSE00001732234","1",NA,NA,NA,TRUE
"ENSG00000004897.2425549","17","havana","exon",47122444,47122619,"-","ENSG00000004897","12","CDC27","ensembl_havana","protein_coding","ENST00000570740","1","CDC27-211","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002656097","1",NA,NA,NA,TRUE
"ENSG00000004897.2425688","17","havana","exon",47139771,47139973,"-","ENSG00000004897","12","CDC27","ensembl_havana","protein_coding","ENST00000573502","1","CDC27-214","havana","nonsense_mediated_decay","cds_start_NF","5","3","ENSE00002669759","1",NA,NA,NA,TRUE
"ENSG00000004897.2425733","17","havana","exon",47154672,47154864,"-","ENSG00000004897","12","CDC27","ensembl_havana","protein_coding","ENST00000576484","1","CDC27-219","havana","nonsense_mediated_decay","cds_start_NF","5","3","ENSE00002658450","1",NA,NA,NA,TRUE
"ENSG00000004948.1120486","7","havana","exon",93441500,93441549,"-","ENSG00000004948","15","CALCR","ensembl_havana","protein_coding","ENST00000423724","5","CALCR-205","havana","nonsense_mediated_decay",NA,"1","9","ENSE00001672837","1",NA,NA,NA,TRUE
"ENSG00000004948.1120516","7","havana","exon",93441500,93441549,"-","ENSG00000004948","15","CALCR","ensembl_havana","protein_coding","ENST00000415529","2","CALCR-204","havana","nonsense_mediated_decay",NA,"1","8","ENSE00001672837","1",NA,NA,NA,TRUE
"ENSG00000005156.2389122","17","havana","exon",34985942,34986131,"+","ENSG00000005156","12","LIG3","ensembl_havana","protein_coding","ENST00000588109","5","LIG3-210","havana","nonsense_mediated_decay","cds_start_NF","4","2","ENSE00002939676","1",NA,NA,NA,TRUE
"ENSG00000005156.2389168","17","havana","exon",34998200,34998296,"+","ENSG00000005156","12","LIG3","ensembl_havana","protein_coding","ENST00000585370","1","LIG3-203","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00002737971","1",NA,NA,NA,TRUE
"ENSG00000005206.2629582","19","havana","exon",2337115,2337333,"+","ENSG00000005206","17","SPPL2B","ensembl_havana","protein_coding","ENST00000586332","5","SPPL2B-203","havana","nonsense_mediated_decay",NA,"3","3","ENSE00002897096","1",NA,NA,NA,TRUE
"ENSG00000005206.2629599","19","havana","exon",2339065,2339208,"+","ENSG00000005206","17","SPPL2B","ensembl_havana","protein_coding","ENST00000621568","4","SPPL2B-213","havana","nonsense_mediated_decay",NA,"5","5","ENSE00003717471","1",NA,NA,NA,TRUE
"ENSG00000005243.2428639","17","havana","exon",48027676,48027789,"-","ENSG00000005243","10","COPZ2","ensembl_havana","protein_coding","ENST00000584955","5","COPZ2-207","havana","nonsense_mediated_decay","cds_start_NF","3","6","ENSE00003493231","1",NA,NA,NA,TRUE
"ENSG00000005302.1194969","X","havana","exon",11768575,11768682,"+","ENSG00000005302","19","MSL3","ensembl_havana","protein_coding","ENST00000649785","1","MSL3-242","havana","nonsense_mediated_decay",NA,NA,"9","ENSE00003831854","1",NA,NA,NA,TRUE
"ENSG00000005302.1195340","X","havana","exon",11765522,11765729,"+","ENSG00000005302","19","MSL3","ensembl_havana","protein_coding","ENST00000380691","3","MSL3-204","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00001847902","1",NA,NA,NA,TRUE
"ENSG00000005302.1195385","X","havana","exon",11767145,11767286,"+","ENSG00000005302","19","MSL3","ensembl_havana","protein_coding","ENST00000648692","1","MSL3-230","havana","nonsense_mediated_decay","cds_start_NF",NA,"3","ENSE00003838388","1",NA,NA,NA,TRUE
"ENSG00000005302.1195437","X","havana","exon",11767145,11767286,"+","ENSG00000005302","19","MSL3","ensembl_havana","protein_coding","ENST00000649420","1","MSL3-237","havana","nonsense_mediated_decay","cds_start_NF",NA,"3","ENSE00003838388","1",NA,NA,NA,TRUE
"ENSG00000005421.1123603","7","havana","exon",95315322,95315449,"-","ENSG00000005421","9","PON1","ensembl_havana","protein_coding","ENST00000433729","1","PON1-202","havana","nonsense_mediated_decay",NA,"3","4","ENSE00001633438","1",NA,NA,NA,TRUE
"ENSG00000005436.334292","2","havana","exon",75664562,75664783,"-","ENSG00000005436","14","GCFC2","ensembl_havana","protein_coding","ENST00000470285","1","GCFC2-206","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00001851682","1",NA,NA,NA,TRUE
"ENSG00000005436.334450","2","havana","exon",75710444,75710606,"-","ENSG00000005436","14","GCFC2","ensembl_havana","protein_coding","ENST00000472230","5","GCFC2-208","havana","nonsense_mediated_decay","cds_start_NF","2","1","ENSE00001866140","1",NA,NA,NA,TRUE
"ENSG00000005471.1114992","7","havana","exon",87448634,87448706,"-","ENSG00000005471","17","ABCB4","ensembl_havana","protein_coding","ENST00000643670","1","ABCB4-211","havana","nonsense_mediated_decay","cds_start_NF",NA,"8","ENSE00003830377","1",NA,NA,NA,TRUE
"ENSG00000005471.1115027","7","havana","exon",87451623,87451810,"-","ENSG00000005471","17","ABCB4","ensembl_havana","protein_coding","ENST00000644106","1","ABCB4-212","havana","nonsense_mediated_decay",NA,NA,"7","ENSE00003826857","1",NA,NA,NA,TRUE
"ENSG00000005483.1142604","7","havana","exon",105064028,105064116,"+","ENSG00000005483","21","KMT2E","ensembl_havana","protein_coding","ENST00000482560","6","KMT2E-212","havana","nonsense_mediated_decay",NA,"5","5","ENSE00001825469","1",NA,NA,NA,TRUE
"ENSG00000005483.1142682","7","havana","exon",105108544,105108658,"+","ENSG00000005483","21","KMT2E","ensembl_havana","protein_coding","ENST00000478079","1","KMT2E-208","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00001869265","1",NA,NA,NA,TRUE
"ENSG00000005700.994188","6","havana","exon",82174898,82175002,"-","ENSG00000005700","15","IBTK","ensembl_havana","protein_coding","ENST00000471036","1","IBTK-204","havana","nonsense_mediated_decay","cds_start_NF","3","4","ENSE00001944158","1",NA,NA,NA,TRUE
"ENSG00000005801.1502297","11","havana","exon",3370943,3371070,"-","ENSG00000005801","18","ZNF195","ensembl_havana","protein_coding","ENST00000525313","6","ZNF195-210","havana","nonsense_mediated_decay",NA,"5","3","ENSE00002179825","1",NA,NA,NA,TRUE
"ENSG00000005801.1502324","11","havana","exon",3361976,3362073,"-","ENSG00000005801","18","ZNF195","ensembl_havana","protein_coding","ENST00000529228","5","ZNF195-222","havana","nonsense_mediated_decay","cds_start_NF","4","2","ENSE00002170171","1",NA,NA,NA,TRUE
"ENSG00000005801.1502400","11","havana","exon",3369357,3369502,"-","ENSG00000005801","18","ZNF195","ensembl_havana","protein_coding","ENST00000530643","5","ZNF195-225","havana","nonsense_mediated_decay",NA,"3","4","ENSE00002188548","1",NA,NA,NA,TRUE
"ENSG00000005801.1502448","11","havana","exon",3369357,3369502,"-","ENSG00000005801","18","ZNF195","ensembl_havana","protein_coding","ENST00000526501","5","ZNF195-212","havana","nonsense_mediated_decay",NA,"4","4","ENSE00002188548","1",NA,NA,NA,TRUE
"ENSG00000005844.2255570","16","havana","exon",30473965,30474298,"+","ENSG00000005844","18","ITGAL","ensembl_havana","protein_coding","ENST00000562652","1","ITGAL-205","havana","nonsense_mediated_decay",NA,"4","2","ENSE00002621308","1",NA,NA,NA,TRUE
"ENSG00000005844.2255733","16","havana","exon",30475289,30475400,"+","ENSG00000005844","18","ITGAL","ensembl_havana","protein_coding","ENST00000565864","5","ITGAL-212","havana","nonsense_mediated_decay",NA,"2","3","ENSE00002578460","1",NA,NA,NA,TRUE
"ENSG00000005844.2255846","16","havana","exon",30499373,30499489,"+","ENSG00000005844","18","ITGAL","ensembl_havana","protein_coding","ENST00000563615","5","ITGAL-207","havana","nonsense_mediated_decay","cds_start_NF","4","2","ENSE00003518548","1",NA,NA,NA,TRUE
"ENSG00000005884.2433139","17","havana","exon",50074144,50074292,"+","ENSG00000005884","18","ITGA3","ensembl_havana","protein_coding","ENST00000510809","1","ITGA3-212","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00002075676","1",NA,NA,NA,TRUE
"ENSG00000005884.2433184","17","havana","exon",50081097,50081193,"+","ENSG00000005884","18","ITGA3","ensembl_havana","protein_coding","ENST00000504417","1","ITGA3-203","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00002064621","1",NA,NA,NA,TRUE
"ENSG00000005893.1258044","X","havana","exon",120439076,120439293,"-","ENSG00000005893","15","LAMP2","ensembl_havana","protein_coding","ENST00000486593","5","LAMP2-204","havana","nonsense_mediated_decay","cds_start_NF","5","6","ENSE00001935356","1",NA,NA,NA,TRUE
"ENSG00000006025.2427254","17","havana","exon",47814521,47814707,"-","ENSG00000006025","12","OSBPL7","ensembl_havana","protein_coding","ENST00000579728","5","OSBPL7-204","havana","nonsense_mediated_decay",NA,"5","13","ENSE00002697833","1",NA,NA,NA,TRUE
"ENSG00000006025.2427317","17","havana","exon",47808864,47808946,"-","ENSG00000006025","12","OSBPL7","ensembl_havana","protein_coding","ENST00000578461","1","OSBPL7-203","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00002694191","1",NA,NA,NA,TRUE
"ENSG00000006071.1521221","11","havana","exon",17428289,17428397,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000643562","1","ABCC8-227","havana","nonsense_mediated_decay",NA,NA,"14","ENSE00003825065","1",NA,NA,NA,TRUE
"ENSG00000006071.1521284","11","havana","exon",17395172,17395470,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000531642","5","ABCC8-215","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00002185059","1",NA,NA,NA,TRUE
"ENSG00000006071.1521473","11","havana","exon",17428289,17428670,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000646592","1","ABCC8-247","havana","nonsense_mediated_decay","cds_start_NF",NA,"7","ENSE00003816659","1",NA,NA,NA,TRUE
"ENSG00000006071.1521551","11","havana","exon",17430814,17431032,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000646993","1","ABCC8-250","havana","nonsense_mediated_decay",NA,NA,"12","ENSE00003815427","1",NA,NA,NA,TRUE
"ENSG00000006071.1521630","11","havana","exon",17428565,17428702,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000644484","1","ABCC8-232","havana","nonsense_mediated_decay",NA,NA,"12","ENSE00003827282","1",NA,NA,NA,TRUE
"ENSG00000006071.1521969","11","havana","exon",17428565,17430482,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000647086","1","ABCC8-253","havana","nonsense_mediated_decay",NA,NA,"13","ENSE00003818890","1",NA,NA,NA,TRUE
"ENSG00000006071.1522298","11","havana","exon",17432204,17432346,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000644757","1","ABCC8-236","havana","nonsense_mediated_decay",NA,NA,"11","ENSE00003815062","1",NA,NA,NA,TRUE
"ENSG00000006071.1522369","11","havana","exon",17428565,17428702,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000644675","1","ABCC8-235","havana","nonsense_mediated_decay",NA,NA,"13","ENSE00003820486","1",NA,NA,NA,TRUE
"ENSG00000006071.1522536","11","havana","exon",17432204,17432346,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000645760","1","ABCC8-242","havana","nonsense_mediated_decay","cds_start_NF",NA,"12","ENSE00003815062","1",NA,NA,NA,TRUE
"ENSG00000006071.1522688","11","havana","exon",17412874,17412977,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000643925","1","ABCC8-228","havana","nonsense_mediated_decay","cds_start_NF",NA,"7","ENSE00003822563","1",NA,NA,NA,TRUE
"ENSG00000006071.1522774","11","havana","exon",17406888,17407209,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000645884","1","ABCC8-243","havana","nonsense_mediated_decay",NA,NA,"25","ENSE00003831189","1",NA,NA,NA,TRUE
"ENSG00000006071.1522846","11","havana","exon",17406888,17407076,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000645076","1","ABCC8-239","havana","nonsense_mediated_decay","cds_start_NF",NA,"21","ENSE00003817278","1",NA,NA,NA,TRUE
"ENSG00000006071.1522988","11","havana","exon",17398339,17398463,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000645417","1","ABCC8-240","havana","nonsense_mediated_decay","cds_start_NF",NA,"7","ENSE00003819575","1",NA,NA,NA,TRUE
"ENSG00000006071.1523032","11","havana","exon",17432204,17432346,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000646276","1","ABCC8-246","havana","nonsense_mediated_decay",NA,NA,"11","ENSE00003815062","1",NA,NA,NA,TRUE
"ENSG00000006071.1523177","11","havana","exon",17430814,17431032,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000647013","1","ABCC8-251","havana","nonsense_mediated_decay","cds_start_NF",NA,"12","ENSE00003815427","1",NA,NA,NA,TRUE
"ENSG00000006071.1523374","11","havana","exon",17399007,17399101,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000644447","1","ABCC8-230","havana","nonsense_mediated_decay","cds_start_NF",NA,"20","ENSE00003830975","1",NA,NA,NA,TRUE
"ENSG00000006071.1523601","11","havana","exon",17460488,17461825,"-","ENSG00000006071","14","ABCC8","ensembl_havana","protein_coding","ENST00000646737","1","ABCC8-248","havana","nonsense_mediated_decay",NA,NA,"4","ENSE00003816790","1",NA,NA,NA,TRUE
"ENSG00000006125.2390887","17","havana","exon",35600986,35601071,"+","ENSG00000006125","18","AP2B1","ensembl_havana","protein_coding","ENST00000620039","4","AP2B1-219","havana","nonsense_mediated_decay",NA,"1","4","ENSE00003714838","1",NA,NA,NA,TRUE
"ENSG00000006125.2390936","17","havana","exon",35600937,35601071,"+","ENSG00000006125","18","AP2B1","ensembl_havana","protein_coding","ENST00000590538","5","AP2B1-206","havana","nonsense_mediated_decay",NA,"4","4","ENSE00002924418","1",NA,NA,NA,TRUE
"ENSG00000006125.2390953","17","havana","exon",35600937,35601071,"+","ENSG00000006125","18","AP2B1","ensembl_havana","protein_coding","ENST00000591610","5","AP2B1-208","havana","nonsense_mediated_decay",NA,"4","4","ENSE00002924418","1",NA,NA,NA,TRUE
"ENSG00000006125.2391197","17","havana","exon",35600937,35601071,"+","ENSG00000006125","18","AP2B1","ensembl_havana","protein_coding","ENST00000592167","5","AP2B1-209","havana","nonsense_mediated_decay",NA,"4","4","ENSE00002924418","1",NA,NA,NA,TRUE
"ENSG00000006125.2391255","17","havana","exon",35650603,35650789,"+","ENSG00000006125","18","AP2B1","ensembl_havana","protein_coding","ENST00000588116","1","AP2B1-203","havana","nonsense_mediated_decay","cds_start_NF","5","6","ENSE00002793839","1",NA,NA,NA,TRUE
"ENSG00000006282.2435344","17","havana","exon",50547665,50547767,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000504334","5","SPATA20-208","havana","nonsense_mediated_decay",NA,"2","4","ENSE00003488846","1",NA,NA,NA,TRUE
"ENSG00000006282.2435457","17","havana","exon",50547665,50547767,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000503127","5","SPATA20-205","havana","nonsense_mediated_decay",NA,"1","2","ENSE00003488846","1",NA,NA,NA,TRUE
"ENSG00000006282.2435496","17","havana","exon",50547720,50547954,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000505085","5","SPATA20-209","havana","nonsense_mediated_decay",NA,"4","2","ENSE00002028154","1",NA,NA,NA,TRUE
"ENSG00000006282.2435511","17","havana","exon",50548043,50548161,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000502911","5","SPATA20-203","havana","nonsense_mediated_decay",NA,"5","3","ENSE00003664822","1",NA,NA,NA,TRUE
"ENSG00000006282.2435530","17","havana","exon",50547665,50547767,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000510917","5","SPATA20-216","havana","nonsense_mediated_decay",NA,"3","2","ENSE00003488846","1",NA,NA,NA,TRUE
"ENSG00000006282.2435585","17","havana","exon",50547665,50547767,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000505456","6","SPATA20-211","havana","nonsense_mediated_decay",NA,"5","2","ENSE00003488846","1",NA,NA,NA,TRUE
"ENSG00000006282.2435611","17","havana","exon",50547665,50547954,"+","ENSG00000006282","21","SPATA20","ensembl_havana","protein_coding","ENST00000505559","5","SPATA20-212","havana","nonsense_mediated_decay",NA,"2","2","ENSE00003514427","1",NA,NA,NA,TRUE
"ENSG00000006451.1082095","7","havana","exon",39697408,39697510,"+","ENSG00000006451","8","RALA","ensembl_havana","protein_coding","ENST00000434466","1","RALA-202","havana","nonsense_mediated_decay","cds_start_NF","3","4","ENSE00001717725","1",NA,NA,NA,TRUE
"ENSG00000006459.1169963","7","havana","exon",140095618,140095711,"-","ENSG00000006459","11","KDM7A","ensembl_havana","protein_coding","ENST00000472616","1","KDM7A-202","havana","nonsense_mediated_decay","cds_start_NF","1","10","ENSE00001867898","1",NA,NA,NA,TRUE
"ENSG00000006530.1172034","7","havana","exon",141624180,141624296,"+","ENSG00000006530","18","AGK","ensembl_havana","protein_coding","ENST00000649790","1","AGK-221","havana","nonsense_mediated_decay",NA,NA,"9","ENSE00003840307","1",NA,NA,NA,TRUE
"ENSG00000006530.1172090","7","havana","exon",141614146,141614582,"+","ENSG00000006530","18","AGK","ensembl_havana","protein_coding","ENST00000647568","1","AGK-211","havana","nonsense_mediated_decay",NA,NA,"7","ENSE00003836796","1",NA,NA,NA,TRUE
"ENSG00000006534.1591961","11","havana","exon",68019066,68019255,"+","ENSG00000006534","16","ALDH3B1","ensembl_havana","protein_coding","ENST00000616697","1","ALDH3B1-207","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00003713467","1",NA,NA,NA,TRUE
"ENSG00000006634.1115560","7","havana","exon",87900282,87900349,"+","ENSG00000006634","8","DBF4","ensembl_havana","protein_coding","ENST00000413643","5","DBF4-202","havana","nonsense_mediated_decay",NA,"1","9","ENSE00003584414","1",NA,NA,NA,TRUE
"ENSG00000006634.1115652","7","havana","exon",87900282,87900349,"+","ENSG00000006634","8","DBF4","ensembl_havana","protein_coding","ENST00000430279","5","DBF4-203","havana","nonsense_mediated_decay",NA,"2","8","ENSE00003521723","1",NA,NA,NA,TRUE
"ENSG00000006695.2359247","17","havana","exon",14209509,14209965,"+","ENSG00000006695","12","COX10","ensembl_havana","protein_coding","ENST00000670279","1","COX10-207","havana","nonsense_mediated_decay",NA,NA,"7","ENSE00003854012","1",NA,NA,NA,TRUE
"ENSG00000006695.2359274","17","havana","exon",14206810,14207268,"+","ENSG00000006695","12","COX10","ensembl_havana","protein_coding","ENST00000664217","1","COX10-206","havana","nonsense_mediated_decay","CCDS",NA,"7","ENSE00003886647","1",NA,NA,"CCDS11166",TRUE
"ENSG00000006712.2722948","19","havana","exon",39387159,39387227,"-","ENSG00000006712","15","PAF1","ensembl_havana","protein_coding","ENST00000416728","3","PAF1-202","havana","nonsense_mediated_decay",NA,"2","11","ENSE00001642813","2",NA,NA,NA,TRUE
"ENSG00000006715.1081694","7","havana","exon",38728341,38728434,"-","ENSG00000006715","16","VPS41","ensembl_havana","protein_coding","ENST00000448833","5","VPS41-208","havana","nonsense_mediated_decay","cds_start_NF","1","6","ENSE00001729775","1",NA,NA,NA,TRUE
"ENSG00000006715.1081768","7","havana","exon",38796415,38796526,"-","ENSG00000006715","16","VPS41","ensembl_havana","protein_coding","ENST00000265745","13","VPS41-201","havana","nonsense_mediated_decay",NA,"2","9","ENSE00001727333","1",NA,NA,NA,TRUE
"ENSG00000006747.1063063","7","havana","exon",12577542,12577759,"+","ENSG00000006747","15","SCIN","ensembl_havana","protein_coding","ENST00000436854","1","SCIN-204","havana","nonsense_mediated_decay",NA,"3","2","ENSE00001678760","1",NA,NA,NA,TRUE
